,Title,Published_date,views,likes,comments,Month
0,S3 Storage in AWS | AWS Essentials,2024-08-27,1518,72,7,Aug
1,AWS Setup and UI Walkthough | AWS,2024-08-20,3825,168,14,Aug
2,Getting Started in Azure Synapse Analytics | Azure Fundamentals,2024-08-13,4176,99,7,Aug
3,August Q/A Livestream! Come Ask Me Anything!,2024-08-09,4863,219,15,Aug
4,Getting Started in Azure Data Factory | Azure Fundamentals,2024-08-06,4793,121,18,Aug
5,How to use Azure SQL Databases | Azure Fundamentals,2024-07-30,6185,206,9,Jul
6,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,2024-07-25,36637,1103,141,Jul
7,Blob Storage and Storage Accounts in Azure | Azure Fundamentals,2024-07-23,2878,79,9,Jul
8,Azure Account Setup + $200 Free Credits | Azure Fundamentals,2024-07-16,6108,265,25,Jul
9,Building a Fully Interactive Web App using Shiny for Python,2024-07-09,8087,279,22,Jul
10,Shiny for Python Components and Layouts | Customizing You Web App,2024-07-02,4037,130,8,Jul
11,Shiny for Python Setup and Install | Deploying First Shiny App,2024-06-25,7206,248,31,Jun
12,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,2024-06-18,12022,726,129,Jun
13,Top 5 Most Common Excel Functions in Excel,2024-06-11,6679,324,8,Jun
14,5 Awesome Excel Functions You've Probably Never Heard Of,2024-06-04,4997,217,17,Jun
15,How to Create Custom Functions in Excel | Lambda Functions,2024-05-28,5185,196,13,May
16,Top 5 Most Popular Functions In Microsoft Excel,2024-05-21,14194,410,26,May
17,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,2024-05-14,4432,82,10,May
18,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,2024-05-07,62231,2262,54,May
19,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2024-05-07,2287,60,11,May
20,How We Started Analyst Builder | How We Created It | Part 1,2024-04-30,6071,200,35,Apr
21,MySQL Exploratory Data Analysis | Full Project,2024-04-23,58251,1458,73,Apr
22,750k Subscriber Livestream! | Giveaways | Songs | Q/A,2024-04-18,5132,230,14,Apr
23,Data Cleaning in MySQL | Full Project,2024-04-16,129407,3207,467,Apr
24,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,2024-04-09,8308,258,82,Apr
25,Triggers and Events in MySQL | Advanced MySQL Series,2024-04-02,39267,1450,63,Apr
26,How to give up on the job search fast,2024-03-27,15988,1174,26,Mar
27,Stored Procedures in MySQL | Advanced MySQL Series,2024-03-26,42065,908,41,Mar
28,Temp Tables in MySQL | Advanced MySQL Series,2024-03-19,32734,786,38,Mar
29,CTEs in MySQL | Advanced MySQL Series,2024-03-12,53587,1020,35,Mar
30,7 Mistakes to Avoid During Your Data Analyst Job Search,2024-03-05,18514,704,50,Mar
31,#DataAnalyst #AnalystBuilder #SQL,2024-03-01,15258,1094,13,Mar
32,Q/A Livestream | February Livestream | Ask Me Anything!,2024-02-29,5532,191,7,Feb
33,Window Functions in MySQL | Intermediate MySQL,2024-02-27,61388,1868,64,Feb
34,Twitter making me tear up over here 🥹,2024-02-23,6071,273,11,Feb
35,Subqueries in MySQL | Intermediate MySQL,2024-02-20,52437,995,47,Feb
36,Case Statements in MySQL | Intermediate MySQL,2024-02-13,47971,961,48,Feb
37,We did our best,2024-02-08,5714,214,5,Feb
38,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2024-02-06,75997,940,48,Feb
39,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,2024-01-30,13186,476,10,Jan
40,String Functions in MySQL | Intermediate MySQL Series,2024-01-30,52340,1047,32,Jan
41,Unions in MySQL | Intermediate MySQL,2024-01-23,50225,1023,39,Jan
42,Joins in MySQL | Intermediate MySQL,2024-01-16,103606,1556,72,Jan
43,Is my background in Data Analytics?,2024-01-15,18043,1206,17,Jan
44,Solving VERY HARD SQL Interview Questions on Analyst Builder,2024-01-11,16240,435,18,Jan
45,Solving HARD SQL Interview Questions on Analyst Builder,2024-01-09,23002,480,34,Jan
46,Hard Skills vs Soft Skills,2024-01-08,11253,823,6,Jan
47,Solving Medium SQL Interview Questions on Analyst Builder,2024-01-04,23770,539,46,Jan
48,Solving Easy SQL Interview Questions on Analyst Builder,2024-01-02,41651,1009,51,Jan
49,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,2023-12-26,312628,12639,379,Dec
50,Limit + Aliasing in MySQL | MySQL Beginner Series,2023-12-19,56077,1145,40,Dec
51,Practice SQL and Python right on your Phone!,2023-12-13,8616,593,20,Dec
52,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,2023-12-12,22960,996,109,Dec
53,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,2023-12-11,11746,472,14,Dec
54,Having vs Where in MySQL | Beginner MySQL Series,2023-12-05,63555,1258,27,Dec
55,#Excel is Frustrating,2023-11-29,10832,715,9,Nov
56,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28,13671,432,11,Nov
57,Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28,81299,1561,39,Nov
58,Where Clause in MySQL | Beginner MySQL Series,2023-11-21,89555,1623,66,Nov
59,Why Data Analysts Hate Using Excel,2023-11-14,24857,940,142,Nov
60,Select Statement in MySQL | Beginner MySQL Series,2023-11-07,144368,1937,75,Nov
61,Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31,419119,5808,639,Oct
62,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26,25137,979,14,Oct
63,How to Start a Data YouTube Channel,2023-10-24,8777,404,46,Oct
64,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20,5144,240,11,Oct
65,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17,16683,632,242,Oct
66,Data Analyst vs Business Analyst,2023-10-13,65806,3873,38,Oct
67,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10,32073,859,214,Oct
68,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09,23918,1486,21,Oct
69,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05,16187,1256,32,Oct
70,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03,35686,772,42,Oct
71,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,8950,286,21,Sep
72,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,13154,907,7,Sep
73,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,16228,413,28,Sep
74,My Very First Video,2023-09-25,8549,480,29,Sep
75,#DataAnalyst #CareerPath,2023-09-22,25713,1984,19,Sep
76,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,44718,1097,52,Sep
77,#Excel #DataAnalyst #DataAnalysis,2023-09-18,13990,1136,20,Sep
